school,slug,acceptance_rate,sat_total_25th_percentile,sat_total_75th_percentile,act_25th_percentile,act_75th_percentile,graduation_rate,public_or_private,student_to_faculty_ratio,campus_setting,enrollment,in_state_cost,out_state_cost,average_financial_aid,street_address,city,state,zip,phone,website,applicants,accepted,enrolled,percent_submitting_sat,percent_submitting_act,sat_critical_reading_25th_percentile,sat_critical_reading_75th_percentile,sat_math_25th_percentile,sat_math_75th_percentile,sat_writing_25th_percentile,sat_writing_75th_percentile,act_english_25th_percentile,act_english_75th_percentile,act_math_25th_percentile,act_math_75th_percentile_score,
Alcorn State University,ASU607,40%,1185,1395,16,19,39%,Public,15,Rural,3252," $16,172 "," $22,738 "," $7,408 ",1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,6018776100,www.alcorn.edu,3195,1291,464,6,94,390,470,400,460,395,465,16,21,16,18,
Alderson Broaddus College,ABU1300,74%,1290,1540,19,23,48%,Private,11,Town,738," $31,776 "," $31,776 "," $14,050 ",101 College Hill Drive,Philippi,WV,26416-2035,3044571700,www.ab.edu/,597,441,162,35,85,440,530,420,510,430,500,19,34,17,24,
Alfred University,AU767,70%,1500,1800,22,27,67%,Private,13,Town,2427," $38,870 "," $38,870 "," $13,674 ",One Saxon Drive,Alfred,NY,14802-1205,6078712111,www.alfred.edu,2579,1816,465,91,30,490,600,510,600,500,600,21,27,21,27,
Allegheny College,AC1021,66%,1650,1950,23,29,74%,Private,12,Town,2125," $44,800 "," $44,800 "," $16,651 ",520 N Main St,Meadville,PA,16335-3902,8143323100,www.allegheny.edu,3916,2594,583,72,41,550,660,560,650,540,640,23,31,23,29,
Alma College,AC560,78%,1456,2086,21,27,70%,Private,13,Town,1382," $36,846 "," $36,846 "," $16,943 ",614 W Superior,Alma,MI,48801-1599,9894637111,www.alma.edu,1713,1329,400,6,,470,708,483,668,503,710,20,27,20,26,
Alvernia University,AU1022,78%,1298,1620,17,21,53%,Private,14,City,2809," $37,147 "," $37,147 "," $10,524 ",400 Saint Bernardine St,Reading,PA,19607-1799,6107968200,www.alvernia.edu,1606,1252,328,98,17,438,540,440,550,420,530,,,,,
Alverno College,AC1321,85%,NR,NR,17,22,40%,Private,12,City,2782," $29,570 "," $29,570 "," $9,513 ",3400 S 43rd  St,Milwaukee,WI,53234-3922,4143826000,www.alverno.edu,525,446,235,1,99,,,,,0,0,,,,,
American International College,AIC491,79%,1230,1530,16,21,33%,Private,18,City,3112," $39,985 "," $39,985 "," $14,702 ",1000 State Street,Springfield,MA,1109,4137377000,www.aic.edu,1469,1162,364,96,13,410,510,400,520,420,500,15,22,16,19,
American University,AU166,53%,1750,2060,26,30,76%,Private,13,City,11684," $49,903 "," $49,903 "," $17,837 ",4400 Massachusetts Ave NW,Washington,DC,20016-8001,2028851000,www.american.edu,14936,7950,1533,88,50,590,700,580,670,580,690,26,32,24,29,
Amherst College,AC496,16%,1970,2310,30,34,95%,Private,8,Town,1697," $51,878 "," $51,878 "," $34,064 ",Boltwood Avenue,Amherst,MA,01002-5000,4135422000,www.amherst.edu,7679,1227,467,76,26,660,760,650,780,660,770,30,34,29,35,
Anderson University,AU328,69%,1335,1740,18,24,45%,Private,17,City,2064," $31,937 "," $31,937 "," $14,171 ",316 Boulevard,Anderson,SC,29621,8642312000,www.andersonuniversity.edu,1822,1261,449,85,51,440,580,450,580,445,580,17,25,17,24,
Anderson University,AU1103,69%,1395,1725,22,26,54%,Private,16,City,2737," $34,690 "," $34,690 "," $12,472 ",1100 E 5th St,Anderson,IN,46012-3495,7656499071,www.anderson.edu,2381,1646,552,77,54,460,570,470,580,465,575,21,27,21,27,
Angelo State University,ASU1186,96%,1260,1590,18,23,33%,Public,20,City,6155," $16,695 "," $23,343 "," $4,588 ",2601 W Avenue N,San Angelo,TX,76909,3259422555,www.angelo.edu,2920,2809,1474,62,67,410,520,430,540,420,530,16,23,18,24,
Anna Maria College,AMC497,71%,1170,1490,18,21,64%,Private,11,Rural,1333," $38,818 "," $38,818 "," $11,468 ",50 Sunset Lane,Paxton,MA,01612-1198,5088493300,www.annamaria.edu,2042,1441,373,97,10,400,500,390,500,380,490,,,,,
Appalachian State University,ASU833,58%,1590,1850,22,26,64%,Public,19,Town,16610," $14,391 "," $25,012 "," $5,488 ",,Boone,NC,28608,8282622000,www.appstate.edu/,13182,7655,2781,98,22,530,620,550,630,510,600,21,27,22,27,
Arcadia University,AU1023,61%,1510,1810,21,27,68%,Private,14,Suburb,3868," $43,840 "," $43,840 "," $14,565 ",450 S Easton Rd,Glenside,PA,19038-3295,2155722900,www.arcadia.edu,5175,3151,534,94,14,510,610,500,600,500,600,21,26,20,26,
Arizona State University,ASU24,90%,1425,1815,20,26,56%,Public,23,City,67082," $20,290 "," $33,075 "," $7,217 ",,Tempe,AZ,85287,4809659011,www.asu.edu/,27089,24473,9707,73,40,470,600,480,610,475,605,20,26,20,27,
Arkansas State University-Main Campus,ASU32,77%,1240,1630,18,24,39%,Public,18,City,11490," $17,226 "," $25,146 "," $5,972 ",2105 E. Aggie Road,Jonesboro,AR,72401,8709722100,www.astate.edu,4053,3122,1725,2,90,410,540,440,570,390,520,18,25,17,24,
Arkansas Tech University,ATU34,94%,1245,1725,20,26,38%,Public,19,Town,7492," $13,688 "," $17,696 "," $6,128 ",Administration Bldg 200, 1509 N Boulder Ave,Russellville,AR,72801-2222,4799680389,www.atu.edu,3304,3095,1841,1,79,370,530,460,620,415,575,20,27,19,26
Armstrong Atlantic State University,ASU216,66%,1320,1620,18,23,30%,Public,16,City,7067," $18,081 "," $27,369 "," $3,897 ",11935 Abercorn St,Savannah,GA,31419-1997,9123442806,www.armstrong.edu,5839,3873,2351,81,32,450,540,440,550,430,530,18,23,17,23,
Ashland University,AU901,80%,1370,1700,20,25,62%,Private,15,Town,6200," $38,493 "," $38,493 "," $13,192 ",401 College Ave,Ashland,OH,44805,4192894142,www.ashland.edu,3491,2801,623,27,91,460,560,470,590,440,550,19,25,20,25,
Assumption College,AC492,79%,1455,1755,20,25,75%,Private,12,City,2876," $42,741 "," $42,741 "," $13,109 ",500 Salisbury St,Worcester,MA,01609-1296,5087677000,www.assumption.edu,3719,2947,515,96,24,480,580,490,590,485,585,20,25,18,25,
Auburn University Main Campus,AU4,80%,1570,1920,23,29,64%,Public,18,City,24530," $19,490 "," $31,970 "," $6,348 ",Auburn  Alabama,Auburn University,AL,36849,3348444000,www.auburn.edu,14862,11816,3918,22,78,520,640,540,660,510,620,24,30,22,28,
Augsburg College,AC587,52%,1393,1783,19,25,56%,Private,11,City,3898," $37,812 "," $37,812 "," $13,620 ",2211 Riverside Ave,Minneapolis,MN,55454,6123301000,www.augsburg.edu,2360,1218,465,9,94,450,590,473,628,470,565,18,24,18,25,
Augusta State University,AU1123,57%,1300,1610,17,21,20%,Public,18,City,6689," $17,530 "," $26,818 "," $4,045 ",2500 Walton Way,Augusta,GA,30904-2200,7067371400,www.aug.edu,2418,1383,941,84,21,440,540,430,540,430,530,17,21,17,22,
Augustana College,AC280,81%,1330,1930,22,28,68%,Private,12,City,1754," $32,364 "," $32,364 "," $12,381 ",2001 S Summit Ave,Sioux Falls,SD,57197-0001,6052740770,www.augie.edu,1284,1036,432,2,97,460,680,420,660,450,590,22,28,22,27,
Augustana College,AC280,73%,NR,NR,23,28,75%,Private,13,City,2547," $41,453 "," $41,453 "," $13,346 ",639 38th St,Rock Island,IL,61201-2296,3097947000,www.augustana.edu,3633,2639,616,5,95,,,,,0,0,22,27,22,28,
Aurora University,AU281,71%,1410,1635,20,24,47%,Private,14,Suburb,4291," $29,340 "," $29,340 "," $10,802 ",347 S Gladstone Ave,Aurora,IL,60506-4892,6308926431,www.aurora.edu,1620,1151,417,5,95,460,540,480,550,470,545,19,24,18,25,
Austin College,AC1199,80%,1670,2000,24,28,78%,Private,13,City,1298," $39,440 "," $39,440 "," $14,531 ",900 N Grand Ave,Sherman,TX,75090-4400,9038132000,www.austincollege.edu,1750,1394,413,69,49,560,680,570,670,540,650,,,,,
Austin Peay State University,APSU1132,88%,1365,1710,19,24,32%,Public,20,City,9401," $19,221 "," $31,149 "," $6,383 ",601 College St,Clarksville,TN,37044,9312217011,www.apsu.edu,2865,2520,1471,4,82,460,560,450,580,455,570,19,24,17,23,
Averett University,AU1261,23%,1245,1560,17,21,44%,Private,12,City,842," $32,272 "," $32,272 "," $9,473 ",420 W Main St,Danville,VA,24541,4347915600,www.averett.edu,1157,264,230,88,24,410,510,420,530,415,520,,,,,
Babson College,BC498,40%,1730,2020,25,29,88%,Private,10,Suburb,3439," $53,074 "," $53,074 "," $25,172 ",231 Forest Street,Wellesley,MA,02457-0310,7812351200,www.babson.edu,4150,1674,471,92,24,560,650,610,700,560,670,24,27,28,31,
Baldwin-Wallace College,BWU913,67%,1440,1803,21,26,73%,Private,16,Suburb,4374," $35,560 "," $35,560 "," $13,084 ",275 Eastland Rd,Berea,OH,44017-2088,4408262900,www.bw.edu,3498,2335,755,47,83,480,610,490,593,470,600,21,28,20,26,
Ball State University,BSU314,74%,1400,1710,19,24,60%,Public,18,City,20243," $19,640 "," $32,208 "," $6,528 ",2000 University Ave,Muncie,IN,47306,7652891241,www.bsu.edu,13021,9594,4178,78,22,470,570,470,580,460,560,19,25,19,24,
Baptist Bible College and Seminary,,63%,1330,1660,19,25,60%,Private,19,Suburb,910," $25,970 "," $25,970 "," $6,638 ",538 Venard Rd,Clarks Summit,PA,18411,5705862400,www.bbc.edu,263,166,122,64,33,470,560,430,550,430,550,19,26,16,24,
Bard College,,33%,NR,NR,NR,NR,75%,Private,11,Town,2158," $53,330 "," $53,330 "," $25,313 ",,Annandale-On-Hudson,NY,12504-5000,8457586822,www.bard.edu,5510,1826,505,,,,,,,0,0,,,,,
Barnard College,,31%,1910,2180,28,32,89%,Private,9,City,2359," $53,481 "," $53,481 "," $21,896 ",3009 Broadway,New York,NY,10027-6598,2128545262,www.barnard.edu,4174,1295,594,86,33,630,730,620,710,660,740,,,,,
Barry University,,62%,1245,1485,NR,NR,41%,Private,19,Suburb,8581," $41,840 "," $41,840 "," $14,117 ",11300 NE 2nd Ave,Miami,FL,33161-6695,8007566000,www.barry.edu,4347,2675,652,75,0,420,500,410,490,415,495,,,,,
Barton College,,51%,1230,1665,17,20,41%,Private,12,Town,1155," $32,754 "," $32,754 "," $11,727 ",200 ACC Drive NE,Wilson,NC,27893-7000,2523996300,WWW.BARTON.EDU,2681,1360,230,93,20,400,550,420,560,410,555,15,21,16,20,
Bates College,,27%,NR,NR,NR,NR,89%,Private,10,City,1776," $53,350 "," $53,350 "," $29,741 ",2 Andrews Road,Lewiston,ME,4240,2077866000,www.bates.edu/,4767,1284,469,,,,,,,0,0,,,,,
Bay Path College,,66%,1120,1780,16,26,55%,Private,13,Suburb,1784," $37,315 "," $37,315 "," $11,026 ",588 Longmeadow Street,Longmeadow,MA,1106,4135651000,www.baypath.edu,1099,730,241,93,12,380,600,370,590,370,590,15,27,15,25,
Baylor University,BU1165,50%,1620,1935,23,29,73%,Private,16,City,14541," $41,321 "," $41,321 "," $12,274 ",500 Speight Ave.,Waco,TX,76798,2547101011,www.baylor.edu,31440,15699,3098,58,42,530,640,550,650,540,645,23,29,23,28,
Becker College,,82%,1125,1500,15,25,35%,Private,21,City,1752," $36,540 "," $36,540 "," $10,598 ",61 Sever St,Worcester,MA,01609-2165,5087919241,www.becker.edu,1953,1601,544,90,10,370,500,380,500,375,500,12,24,15,23,
Bellarmine University,,53%,1485,1800,22,27,62%,Private,12,City,3040," $44,111 "," $44,111 "," $17,386 ",2001 Newburg Rd,Louisville,KY,40205-0671,5024528000,www.bellarmine.edu,6021,3214,603,27,90,480,600,510,600,495,600,22,29,21,26,
Belmont Abbey College,,75%,1335,1725,20,28,35%,Private,17,Suburb,1497," $37,460 "," $37,460 "," $7,583 ",100 Belmont-Mt Holly Road,Belmont,NC,28012-1802,7044616700,www.belmontabbeycollege.edu,1763,1321,403,81,20,440,580,450,570,445,575,20,28,19,25,
Belmont University,,77%,1605,1920,23,29,66%,Private,12,City,4991," $35,600 "," $35,600 "," $8,278 ",1900 Belmont Blvd,Nashville,TN,37212-3757,6154606000,www.belmont.edu,3220,2466,991,47,75,540,640,530,640,535,640,24,30,22,27,
Beloit College,,73%,1702.5,2070,25,30,78%,Private,10,Suburb,1388," $41,748 "," $41,748 "," $16,891 ",700 College St,Beloit,WI,53511-5595,6083632000,www.beloit.edu,1962,1429,335,45,66,575,710,560,670,567.5,690,24,32,22,28,
Bemidji State University,,81%,NR,NR,19,24,50%,Public,20,Town,4816," $16,530 "," $16,530 "," $5,060 ",1500 Birchmont Dr,Bemidji,MN,56601,8004752001,www.bemidjistate.edu,2167,1747,810,0,95,,,,,0,0,18,23,18,25,
Benedict College,,0%,NR,NR,NR,NR,29%,Private,22,City,2883," $26,474 "," $26,474 "," $10,372 ",1600 Harden Street,Columbia,SC,29204-1086,8032564220,www.benedict.edu,,,,,,,,,,0,0,,,,,
Benedictine University,,80%,1335,1770,20,25,62%,Private,20,Suburb,5850," $32,870 "," $32,870 "," $11,362 ",5700 College Rd,Lisle,IL,60532-0900,6308296000,www.ben.edu,1641,1307,445,5,96,440,600,450,580,445,590,20,26,19,26,
Bennett College for Women,,46%,NR,NR,NR,NR,38%,Private,10,City,689," $26,476 "," $26,476 "," $9,163 ",900 E Washington St,Greensboro,NC,27401-3239,3365172100,www.bennett.edu,1396,636,195,,,,,,,0,0,,,,,
Bentley University,,43%,1690,1950,25,28,82%,Private,14,City,5693," $49,753 "," $49,753 "," $18,946 ",175 Forest St,Waltham,MA,02452-4705,8005232354,www.bentley.edu,6675,2842,949,83,28,540,630,600,680,550,640,,,,,
Berry College,,67%,1540,1870,22,28,61%,Private,11,Rural,1795," $36,080 "," $36,080 "," $13,024 ",2277 Martha Berry Hwy NW,Mount Berry,GA,30149,7062325374,www.berry.edu,2412,1616,569,60,40,520,640,510,610,510,620,23,30,21,27,
Bethany College,,79%,1270,1550,18,24,63%,Private,14,Rural,825," $34,065 "," $34,065 "," $14,053 ",,Bethany,WV,26032,3048297000,www.bethanywv.edu,1355,1069,284,58,52,430,520,420,520,420,510,17,23,17,24,
Bethany Lutheran College,,83%,NR,NR,19,26,63%,Private,13,Town,615," $28,650 "," $28,650 "," $10,759 ",700 Luther Dr,Mankato,MN,56001,5073447000,www.blc.edu,435,359,166,1,99,,,,,0,0,18,27,18,25,
Bethel University,,78%,1534.5,2019,21,28,75%,Private,13,Suburb,4332," $37,960 "," $37,960 "," $10,326 ",3900 Bethel Dr,Saint Paul,MN,55112-6902,6516386400,www.bethel.edu,2618,2043,913,10,94,513,678,510,668,511.5,673,21,28,21,28,
Bethune-Cookman University,,69%,1160,1400,16,19,41%,Private,16,City,3633," $25,308 "," $25,308 "," $7,977 ",640 Dr Mary McLeod Bethune Blvd,Daytona Beach,FL,32114-3099,3864812000,www.cookman.edu,5188,3587,1027,87,80,390,470,380,460,390,470,16,19,16,19,
Birmingham Southern College,,59%,1560,1900,23,28,66%,Private,12,City,1458," $38,646 "," $38,646 "," $16,476 ",900 Arkadelphia Road,Birmingham,AL,35254,2052264600,www.bsc.edu,2536,1489,424,45,86,520,640,520,630,520,630,23,30,22,28,
Blackburn College,,54%,NR,NR,18,24,41%,Private,13,Town,636," $20,517 "," $20,517 "," $10,226 ",700 College Ave,Carlinville,IL,62626,2178543231,www.blackburn.edu,912,491,148,0,99,,,,,0,0,18,24,17,24,
Bloomfield College,,52%,1140,1380,NR,NR,36%,Private,14,Suburb,2029," $34,900 "," $34,900 "," $14,329 ",467 Franklin St,Bloomfield,NJ,7003,9737489000,www.bloomfield.edu,3280,1692,493,91,0,380,460,380,460,380,460,,,,,
Bloomsburg University of Pennsylvania,,59%,1370,1660,NR,NR,65%,Public,20,Town,8855," $19,400 "," $27,836 "," $5,227 ",400 E Second St,Bloomsburg,PA,17815,5703894000,www.bloomu.edu,10840,6350,1811,99,0,460,550,470,570,440,540,,,,,
Bluefield State College,,83%,1245,1590,16,21,6%,Public,16,Rural,1868,,," $4,282 ",219 Rock St,Bluefield,WV,24701,3043274000,www.bluefieldstate.edu,463,384,301,12,81,410,530,420,530,415,530,15,21,16,19,
Bluffton University,,66%,1305,1755,19,24,62%,Private,13,Town,1149," $36,064 "," $36,064 "," $13,641 ",1 University Drive,Bluffton,OH,45817-2104,4193583000,www.bluffton.edu,1674,1113,257,18,92,420,570,450,600,435,585,17,24,18,24,
Boise State University,BSU257,87%,1370,1720,19,25,30%,Public,19,City,19667," $16,668 "," $25,672 "," $2,891 ",1910 University Dr,Boise,ID,83725,2084261011,www.boisestate.edu,4127,3606,2194,39,69,460,570,470,590,440,560,18,24,18,25,
Boston College,BC485,30%,1880,2150,29,32,91%,Private,14,City,14836," $52,870 "," $52,870 "," $24,215 ",140 Commonwealth Avenue,Chestnut Hill,MA,2467,6175528000,www.bc.edu,29289,8804,2171,86,14,610,700,640,730,630,720,29,34,28,33,
Boston University,BU486,54%,1770,2040,25,30,80%,Private,15,City,31766," $53,000 "," $53,000 "," $19,894 ",One Silber Way,Boston,MA,2215,6173532000,www.bu.edu,38010,20640,4131,90,35,580,670,600,690,590,680,26,30,26,31,
Bowdoin College,,19%,1980,2250,30,33,91%,Private,8,Town,1723," $52,900 "," $52,900 "," $27,262 ",5700 College Station - President's Office,Brunswick,ME,04011-8448,2077253000,www.bowdoin.edu,5940,1153,494,75,28,660,750,660,750,660,750,31,34,27,33,
Bowie State University,,49%,1180,1420,NR,NR,41%,Public,16,Suburb,5483," $18,679 "," $29,083 "," $6,905 ",14000 Jericho Park Rd,Bowie,MD,20715-9465,3018604000,www.bowiestate.edu,3496,1696,714,90,0,400,480,390,470,390,470,,,,,
Bowling Green State University-Main Campus,BGSU889,89%,1330,1670,19,24,58%,Public,17,Town,17874," $21,125 "," $28,433 "," $7,012 ",220 McFall Ctr,Bowling Green,OH,43403,4193722531,www.bgsu.edu,10418,9253,3171,6,92,440,570,460,570,430,530,19,25,18,24,
Bradley University,BU263,74%,1485,1860,22,27,78%,Private,13,City,5873," $35,200 "," $35,200 "," $11,032 ",1501 W Bradley Ave,Peoria,IL,61625-0001,3096767611,www.bradley.edu,6221,4573,1106,7,97,480,600,510,640,495,620,22,28,22,28,
Brandeis University,,32%,1930,2180,29,32,89%,Private,11,City,5327," $52,054 "," $52,054 "," $22,743 ",415 South St,Waltham,MA,02454-9110,7817362000,www.brandeis.edu/,7724,2501,759,81,31,640,720,650,730,640,730,29,34,27,33,
Brevard College,,57%,1275,1635,16,21,31%,Private,9,Town,650," $31,750 "," $31,750 "," $10,561 ",One Brevard College Drive,Brevard,NC,28712,8288838292,www.brevard.edu,1194,684,189,76,37,420,540,430,550,425,545,15,21,16,21,
Bridgewater College,,86%,1365,1665,18,23,59%,Private,14,Suburb,1514," $37,730 "," $37,730 "," $15,070 ",402 E College St,Bridgewater,VA,22812-1599,5408288000,www.bridgewater.edu,3186,2726,497,89,29,450,550,460,560,455,555,17,23,17,24,
Bridgewater State College,,61%,1395,1680,20,24,51%,Public,20,Suburb,10269," $20,473 "," $26,613 "," $3,701 ",131 Summer Street,Bridgewater,MA,2325,5085311000,www.bridgew.edu,7450,4569,1482,94,4,460,560,470,560,465,560,,,,,
Brigham Young University,BYU1227,69%,1695,2025,25,30,79%,Private,22,City,34244," $15,830 "," $15,830 "," $3,054 ",Main Campus,Provo,UT,84602,8014224636,www.byu.edu,10212,7049,5421,33,94,560,670,570,680,565,675,25,32,25,30,
Brigham Young University-Hawaii,,58%,1455,1786.5,22,26,51%,Private,13,Town,2424," $14,324 "," $14,324 "," $3,201 ",55-220 Kulanui Street,Laie,HI,96762-1294,8086753211,www.byuh.edu/,1295,748,312,39,63,480,591,490,600,485,595.5,20,27,20,26,
Brown University,,11%,1990,2300,29,34,94%,Private,10,City,8318," $52,030 "," $52,030 "," $19,278 ",One Prospect Street,Providence,RI,2912,4018631000,www.brown.edu,24988,2790,1494,89,33,650,760,670,770,670,770,29,35,28,34,
Bryant University,,45%,1590,1830,23,26,68%,Private,18,Rural,3800," $46,697 "," $46,697 "," $15,061 ",1150 Douglas Pike,Smithfield,RI,02917-1291,4012326000,www.bryant.edu,6253,2822,911,99,17,510,600,560,630,520,600,,,,,
Bryn Mawr College,,49%,1790,2080,26,30,86%,Private,9,Suburb,1745," $52,034 "," $52,034 "," $22,203 ",101 N Merion Avenue,Bryn Mawr,PA,19010,6105265000,www.brynmawr.edu,2276,1107,362,90,33,600,700,580,680,610,700,28,33,25,30,
Bucknell University,BU983,30%,1845,2100,27,31,88%,Private,10,Town,3759," $52,200 "," $52,200 "," $23,109 ",Dent Drive,Lewisburg,PA,17837,5705772000,www.bucknell.edu,7572,2263,920,75,36,600,680,630,720,615,700,,,,,
Buena Vista University,,72%,1158,1621,18,25,61%,Private,26,Town,2478," $35,332 "," $35,332 "," $16,585 ",610 W 4th St,Storm Lake,IA,50588,7127492400,www.bvu.edu,1433,1027,274,4,95,350,528,455,563,353,530,17,24,18,25,
Butler University,BU315,79%,1580,1900,25,30,74%,Private,11,City,4438," $41,836 "," $41,836 "," $13,088 ",4600 Sunset Ave,Indianapolis,IN,46208,3179408000,www.butler.edu,6246,4928,946,42,58,520,630,540,650,520,620,25,31,25,30,
Cabrini College,,75%,1287,1545,NR,NR,55%,Private,17,Suburb,3580," $46,277 "," $46,277 "," $13,771 ",610 King of Prussia Rd,Radnor,PA,19087-3698,6109028100,www.cabrini.edu,2666,1988,357,100,0,430,520,428,510,429,515,,,,,
Caldwell College,,57%,1395,1785,NR,NR,46%,Private,13,Suburb,2308," $37,600 "," $37,600 "," $14,698 ",120 Bloomfield Avenue,Caldwell,NJ,07006-6195,9736183000,www.caldwell.edu,1740,995,274,98,0,480,575,450,615,465,595,,,,,
California Institute of Technology,,15%,2140,2340,33,35,88%,Private,6,City,2126," $49,572 "," $49,572 "," $24,329 ",1200 E California Blvd,Pasadena,CA,91125,6263956811,www.caltech.edu,4413,674,252,97,35,690,770,770,800,680,770,33,35,34,36,
California Lutheran University,,62%,1490,1780,22,26,69%,Private,15,City,3499," $44,780 "," $44,780 "," $13,751 ",60 W Olsen Rd,Thousand Oaks,CA,91360-2787,8054922411,www.callutheran.edu/,3665,2281,464,90,39,490,580,510,610,490,590,21,28,20,27,
California Polytechnic State University-San Luis Obispo,,33%,1650,1965,24,29,69%,Public,21,Suburb,19471," $21,249 "," $32,409 "," $5,256 ",One Grand Ave,San Luis Obispo,CA,93407,8057561111,www.calpoly.edu,33270,11091,3438,95,50,530,630,570,680,550,655,23,29,25,30,
California State Polytechnic University-Pomona,,53%,1380,1755,19,25,50%,Public,25,Suburb,21190," $17,907 "," $29,067 "," $6,629 ",3801 W Temple Ave,Pomona,CA,91768,9098697659,www.csupomona.edu,24530,12952,2640,97,19,440,560,480,610,460,585,18,24,19,27,
California State University-Bakersfield,CSUB59,61%,1185,1515,15,20,44%,Public,21,City,7684," $17,001 "," $28,161 "," $7,468 ",9001 Stockdale Hwy,Bakersfield,CA,93311-1099,6616542782,www.csub.edu,5090,3097,925,81,22,390,490,400,520,395,505,14,20,16,21,
California State University-Chico,,80%,1365,1680,19,24,56%,Public,23,City,17132," $20,160 "," $31,320 "," $6,426 ",First and Normal Sts,Chico,CA,95929-0150,5308986116,www.csuchico.edu,16442,13166,2765,89,30,450,550,460,570,455,560,18,24,19,25,
California State University-Dominguez Hills,,50%,1065,1365,14,18,34%,Public,20,City,12851," $19,671 "," $30,831 "," $6,384 ",1000 E Victoria St,Carson,CA,90747-0005,3102433300,www.csudh.edu,11055,5499,950,75,19,360,450,350,460,355,455,13,18,15,18,
California State University-East Bay,,72%,1170,1515,15,21,44%,Public,23,City,14167," $20,931 "," $32,091 "," $7,221 ",25800 Carlos Bee Blvd,Hayward,CA,94542,5108853000,www.csueastbay.edu,8019,5764,1362,89,14,390,500,390,510,390,505,14,21,16,22,
California State University-Fresno,CSUF60,70%,1215,1575,16,22,48%,Public,22,City,22613," $18,444 "," $29,604 "," $7,368 ",5241 N Maple Ave,Fresno,CA,93740,5592784240,www.csufresno.edu,14537,10196,2823,90,27,400,510,410,540,405,525,15,22,16,23,
California State University-Fullerton,CSUF61,60%,1320,1635,18,23,49%,Public,24,City,36996," $19,182 "," $30,142 "," $6,625 ",800 N State College Blvd,Fullerton,CA,92831-3599,6572782011,www.fullerton.edu,33433,19923,4697,96,19,430,530,450,560,440,545,17,23,17,24,
